ProgrammingLanguages,Technologies,Specialization,GPA,Projects,Internships,CommunicationSkills,ProblemSolvingSkills,Adaptability,IndustryPreference,RolePreference,LocationPreference,JobRole
"Python, Java","AI, ML",AI Engineering,3.8,4,2,Excellent,High,High,Technology,Data Scientist,Remote,Data Scientist
"JavaScript, Python",Web Development,Software Engineering,3.5,3,1,Good,Medium,High,Technology,Frontend Developer,On-site,Web Developer
"C++, Python","Robotics, IoT",Robotics,3.9,5,3,Excellent,High,Medium,Manufacturing,Robotics Engineer,Hybrid,Robotics Eng.
"SQL, Python",Data Analysis,Data Science,3.6,2,1,Good,High,High,Technology,Data Analyst,Remote,Data Analyst
"Java, C#",Software Development,Software Engineering,3.4,3,1,Good,Medium,High,Finance,Backend Developer,On-site,Software Eng.
"Python, R","ML, NLP",AI Engineering,3.7,4,2,Excellent,High,High,Healthcare,ML Engineer,Remote,ML Engineer
"HTML, CSS, JS",Web Development,Software Engineering,3.2,2,0,Good,Medium,Medium,Technology,UI/UX Designer,On-site,Web Designer
"C, C++",Embedded Systems,Electronics Eng.,3.5,3,1,Good,Medium,Medium,Manufacturing,Embedded Engineer,Hybrid,Embedded Eng.
"Python, Julia","AI, Optimization",AI Engineering,4.0,6,3,Excellent,High,High,Research,AI Researcher,Hybrid,Researcher
"PHP, JavaScript",Full Stack Dev,Software Engineering,3.3,2,1,Good,Medium,High,Technology,Full Stack Dev,On-site,Full Stack Dev
"JavaScript, Python",Web Development,Software Engineering,3.03,3,1,Good,Medium,Medium,Technology,Frontend Developer,On-site,Web Developer
"JavaScript, Python",Web Development,Software Engineering,3.68,5,0,Good,High,Medium,Technology,Frontend Developer,On-site,Web Developer
"Python, Java","AI, ML",AI Engineering,3.09,2,0,Excellent,Medium,High,Technology,Data Scientist,Remote,Data Scientist
"SQL, Python",Data Analysis,Data Science,3.45,3,0,Good,Medium,High,Technology,Data Analyst,Remote,Data Analyst
"Python, R","ML, NLP",AI Engineering,3.28,2,2,Excellent,Medium,Medium,Healthcare,ML Engineer,Remote,ML Engineer
"HTML, CSS, JS",Web Development,Software Engineering,3.1,3,2,Good,Medium,High,Technology,UI/UX Designer,On-site,Web Designer
"Python, Julia","AI, Optimization",AI Engineering,3.12,4,0,Excellent,High,High,Research,AI Researcher,Hybrid,Researcher
"PHP, JavaScript",Full Stack Dev,Software Engineering,3.19,1,0,Good,Medium,High,Technology,Full Stack Dev,On-site,Full Stack Dev
"JavaScript, Python",Web Development,Software Engineering,3.86,1,3,Good,High,High,Technology,Frontend Developer,On-site,Web Developer
"Python, R","ML, NLP",AI Engineering,3.16,3,1,Excellent,High,Medium,Healthcare,ML Engineer,Remote,ML Engineer
